temp_C,soc,days,reported,predicted,error_pct,in_dist_error_pct,edge_error_pct
40.0,1.0,186.79166666666663,0.934455005948158,0.8404856660133329,-10.05605827318329,-10.05605827318329,
60.0,0.0,186.79166666666663,0.9707864929564928,0.7966617212005906,-17.936464198797395,,-17.936464198797395
60.0,0.5,186.79166666666663,0.910548812593035,0.661102868667651,-27.395120445549637,,-27.395120445549637
60.0,1.0,186.79166666666663,0.8831965775091701,0.45776458986824164,-48.16956932065458,,-48.16956932065458
0.0,0.5,213.275,0.9898925584572816,0.9946142561587796,0.4769909280716912,0.4769909280716912,
10.0,0.5,213.275,0.9862131308619436,0.9877076173407409,0.15153788081193667,0.15153788081193667,
25.0,0.0,213.275,0.9928877390360854,0.9770756981793766,-1.5925305787398962,-1.5925305787398962,
25.0,0.5,213.275,0.9785832297079938,0.9617928302989609,-1.7157865472559888,-1.7157865472559888,
25.0,1.0,213.275,0.9447291557083148,0.9388685284783375,-0.6203499907424098,-0.6203499907424098,
40.0,0.0,213.275,0.98931339686548,0.936082142468797,-5.380626054932631,-5.380626054932631,
40.0,0.125,213.275,0.97881872419454,0.936082142468797,-4.366138557566981,-4.366138557566981,
40.0,0.25,213.275,0.9680474372743462,0.936082142468797,-3.302038058749615,-3.302038058749615,
40.0,0.375,213.275,0.9589159444641828,0.936082142468797,-2.381209961853831,-2.381209961853831,
40.0,0.5,213.275,0.9598754719467832,0.8934702374479948,-6.918109321421438,-6.918109321421438,
40.0,0.625,213.275,0.9555817500503077,0.8934702374479948,-6.499863836771989,-6.499863836771989,
40.0,0.75,213.275,0.9452254281511628,0.8934702374479948,-5.475433601527191,-5.475433601527191,
40.0,0.875,213.275,0.9301046676306244,0.8295523799167918,-10.810857230722478,-10.810857230722478,
40.0,1.0,213.275,0.930761671353449,0.8295523799167918,-10.873813839958164,-10.873813839958164,
60.0,0.0,213.275,0.968570506624969,0.7827246942204449,-19.187639013716502,,-19.187639013716502
60.0,0.5,213.275,0.9042655441351088,0.637874490367408,-29.459383418450656,,-29.459383418450656
60.0,1.0,213.275,0.8767891663221024,0.4205991845878527,-52.029609768999016,,-52.029609768999016
0.0,0.5,239.7125,0.9890917649350572,0.9942901978630442,0.5255764037554457,0.5255764037554457,
10.0,0.5,239.7125,0.9853011147392912,0.9869679890382211,0.1691741005866038,0.1691741005866038,
25.0,0.0,239.7125,0.9922445194234668,0.9756963510737716,-1.6677510458118057,-1.6677510458118057,
